Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
гис специалист/геоинформатик,астана,250.0,,KZT,от 1 года до 3 лет,полная занятость,другое
руководитель отдела продаж,астана,1200000.0,2000000.0,KZT,от 3 до 6 лет,полная занятость,руководитель отдела продаж
junior soc engineer,астана,200000.0,500000.0,KZT,нет опыта,полная занятость,специалист службы безопасности
финансовый директор (cfo),астана,450000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,финансовый директор (cfo)
ресепшеонист/ администратор,астана,,210000.0,KZT,от 1 года до 3 лет,полная занятость,администратор
руководитель команды маркетинга в dara,астана,770000.0,1600000.0,KZT,от 3 до 6 лет,полная занятость,директор по маркетингу и pr (cmo)
аккаунт-менеджер,астана,150000.0,,KZT,нет опыта,полная занятость,менеджер по работе с партнерами
видеограф,астана,250000.0,300000.0,KZT,от 1 года до 3 лет,полная занятость,другое
менеджер по туризму,астана,600000.0,,KZT,от 1 года до 3 лет,полная занятость,менеджер по туризму
smm-менеджер,астана,350000.0,,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
smm специалист / смм менеджер в рекламное агентство gradiiient,астана,300000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
операционный менеджер,астана,400000.0,450000.0,KZT,от 1 года до 3 лет,полная занятость,"bi-аналитик, аналитик данных"
дизайнер мебели,астана,500000.0,1500000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
финансовый аналитик (начинающий специалист),астана,200000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"финансовый аналитик, инвестиционный аналитик"
помощник/ ассистент руководителя / project /executive assistant,астана,350000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,другое
координатор по организации зарубежного обучения,астана,400000.0,,KZT,от 3 до 6 лет,полная занятость,другое
бренд-менеджер,астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,pr-менеджер
начальник планово-экономического отдела,астана,500000.0,700000.0,KZT,от 3 до 6 лет,полная занятость,экономист
middle/senior ux/ui дизайнер (web-дизайнер),астана,,600000.0,KZT,от 3 до 6 лет,полная занятость,"дизайнер, художник"
технолог,астана,500000.0,500000.0,KZT,более 6 лет,полная занятость,технолог
кадровик – помощник бухгалтера,астана,250000.0,,KZT,от 3 до 6 лет,полная занятость,специалист по кадрам
администратор спа,астана,300000.0,,KZT,от 3 до 6 лет,полная занятость,администратор
